,Month,Month Code,County,County Code,Deaths,latitude,longitude,Population,
1462,"May, 2014",2014/05,"Marion County, IN",18097,12,39.7810289,-86.1365457,"934,531",
1482,"Jun., 2014",2014/06,"Marion County, IN",18097,10,39.7810289,-86.1365457,"934,531",
1511,"Aug., 2014",2014/08,"Marion County, IN",18097,10,39.7810289,-86.1365457,"934,531",
1543,"Oct., 2014",2014/10,"Marion County, IN",18097,10,39.7810289,-86.1365457,"934,531",
1575,"Dec., 2014",2014/12,"Marion County, IN",18097,13,39.7810289,-86.1365457,"934,531",
1626,"Mar., 2015",2015/03,"Marion County, IN",18097,12,39.7810289,-86.1365457,"939,020",
1681,"Jun., 2015",2015/06,"Marion County, IN",18097,14,39.7810289,-86.1365457,"939,020",
1706,"Jul., 2015",2015/07,"Marion County, IN",18097,12,39.7810289,-86.1365457,"939,020",
1737,"Aug., 2015",2015/08,"Marion County, IN",18097,16,39.7810289,-86.1365457,"939,020",
1757,"Sep., 2015",2015/09,"Marion County, IN",18097,15,39.7810289,-86.1365457,"939,020",
1786,"Oct., 2015",2015/10,"Marion County, IN",18097,14,39.7810289,-86.1365457,"939,020",
1811,"Nov., 2015",2015/11,"Marion County, IN",18097,21,39.7810289,-86.1365457,"939,020",
1881,"Mar., 2016",2016/03,"Marion County, IN",18097,13,39.7810289,-86.1365457,"950,082",
1902,"Apr., 2016",2016/04,"Marion County, IN",18097,20,39.7810289,-86.1365457,"950,082",
1921,"May, 2016",2016/05,"Marion County, IN",18097,16,39.7810289,-86.1365457,"950,082",
1948,"Jun., 2016",2016/06,"Marion County, IN",18097,10,39.7810289,-86.1365457,"950,082",
1975,"Jul., 2016",2016/07,"Marion County, IN",18097,22,39.7810289,-86.1365457,"950,082",
2000,"Aug., 2016",2016/08,"Marion County, IN",18097,13,39.7810289,-86.1365457,"950,082",
2030,"Sep., 2016",2016/09,"Marion County, IN",18097,20,39.7810289,-86.1365457,"950,082",
2080,"Nov., 2016",2016/11,"Marion County, IN",18097,19,39.7810289,-86.1365457,"950,082",
2106,"Dec., 2016",2016/12,"Marion County, IN",18097,12,39.7810289,-86.1365457,"950,082",
238,"Dec., 2007",2007/12,"Mecklenburg County, NC",37119,14,35.2356385,-80.8139485,"865,573",
1352,"Sep., 2013",2013/09,"Mecklenburg County, NC",37119,10,35.2356385,-80.8139485,"991,904",
1767,"Sep., 2015",2015/09,"Mecklenburg County, NC",37119,12,35.2356385,-80.8139485,"1,034,000",
6,"Jan., 2007",2007/01,"Miami-Dade County, FL",12086,20,25.6364246,-80.4989467,"2,454,000",
24,"Feb., 2007",2007/02,"Miami-Dade County, FL",12086,17,25.6364246,-80.4989467,"2,454,000",
41,"Mar., 2007",2007/03,"Miami-Dade County, FL",12086,11,25.6364246,-80.4989467,"2,454,000",
57,"Apr., 2007",2007/04,"Miami-Dade County, FL",12086,23,25.6364246,-80.4989467,"2,454,000",
77,"May, 2007",2007/05,"Miami-Dade County, FL",12086,15,25.6364246,-80.4989467,"2,454,000",
100,"Jun., 2007",2007/06,"Miami-Dade County, FL",12086,17,25.6364246,-80.4989467,"2,454,000",
119,"Jul., 2007",2007/07,"Miami-Dade County, FL",12086,17,25.6364246,-80.4989467,"2,454,000",
