Year,Month,County,County_Code,Deaths,latitude,longitude,Population
2011,Aug,"Maricopa County, AZ",4013,18,33.34883,-112.49123,3872000
2011,Aug,"Los Angeles County, CA",6037,36,34.3155072,-118.2096814,9897000
2011,Aug,"Miami-Dade County, FL",12086,17,25.6364246,-80.4989467,2580000
2011,Aug,"Cook County, IL",17031,33,41.8197385,-87.756525,5216000
2011,Aug,"Marion County, IN",18097,10,39.7810289,-86.1365457,910861
2011,Aug,"Jefferson Parish, LA",22051,10,29.8502657,-90.1293894,434018
2011,Aug,"Orleans Parish, LA",22071,11,30.0801436,-89.9319134,360840
2011,Aug,"Genesee County, MI",26049,10,43.0220032,-83.7274305,421784
2011,Aug,"Wayne County, MI",26163,31,42.2682408,-83.2844172,1801000
2011,Aug,"Jackson County, MO",29095,12,40.6531945,-106.3447246,675373
2011,Aug,"Bronx County, NY",36005,11,40.85703325,-73.83669616,1400000
2011,Aug,"Kings County, NY",36047,17,40.64530975,-73.95502303,2545000
2011,Aug,"Cuyahoga County, OH",39035,11,41.4301347,-81.6905558,1270000
2011,Aug,"Summit County, OH",39153,11,41.1457902,-81.5333603,541281
2011,Aug,"Philadelphia County, PA",42101,13,40.0114538,-75.1326504,1539000
2011,Aug,"Shelby County, TN",47157,11,35.1782557,-89.8739775,933529
2011,Aug,"Harris County, TX",48201,23,29.8119769,-95.3741247,4181000
2011,Sep,"Maricopa County, AZ",4013,10,33.34883,-112.49123,3872000
2011,Sep,"Los Angeles County, CA",6037,35,34.3155072,-118.2096814,9897000
2011,Sep,"San Joaquin County, CA",6077,11,37.9372901,-121.2773719,695432
2011,Sep,"Miami-Dade County, FL",12086,16,25.6364246,-80.4989467,2580000
2011,Sep,"Cook County, IL",17031,45,41.8197385,-87.756525,5216000
2011,Sep,"East Baton Rouge Parish, LA",22033,12,30.5254797,-91.0899217,441371
2011,Sep,"Orleans Parish, LA",22071,12,30.0801436,-89.9319134,360840
2011,Sep,"Baltimore city, MD",24510,11,39.2559916,-76.634341,620792
2011,Sep,"Wayne County, MI",26163,25,42.2682408,-83.2844172,1801000
2011,Sep,"Jackson County, MO",29095,10,40.6531945,-106.3447246,675373
