,Month,Month Code,County,County Code,Deaths,latitude,longitude
1087,"May, 2012",2012/05,"Franklin County, OH",39049,12,40.0283162,-83.0076657
1088,"May, 2012",2012/05,"Allegheny County, PA",42003,13,40.4597204,-79.9760405
1089,"May, 2012",2012/05,"Philadelphia County, PA",42101,33,40.0114538,-75.1326504
1090,"May, 2012",2012/05,"Dallas County, TX",48113,18,32.7620405,-96.7790069
1091,"May, 2012",2012/05,"Harris County, TX",48201,20,29.8119769,-95.3741247
1092,"Jun., 2012",2012/06,"Jefferson County, AL",1073,11,33.5228184,-86.9164513
1093,"Jun., 2012",2012/06,"Maricopa County, AZ",4013,16,33.34883,-112.49123
1094,"Jun., 2012",2012/06,"Fresno County, CA",6019,13,36.6713502,-119.8155355
1095,"Jun., 2012",2012/06,"Los Angeles County, CA",6037,42,34.3155072,-118.2096814
1096,"Jun., 2012",2012/06,"Sacramento County, CA",6067,10,38.4732259,-121.2980707
1097,"Jun., 2012",2012/06,"Duval County, FL",12031,10,30.3540073,-81.6632109
1098,"Jun., 2012",2012/06,"Miami-Dade County, FL",12086,16,25.6364246,-80.4989467
1099,"Jun., 2012",2012/06,"Cook County, IL",17031,49,41.8197385,-87.756525
1100,"Jun., 2012",2012/06,"Marion County, IN",18097,12,39.7810289,-86.1365457
1101,"Jun., 2012",2012/06,"East Baton Rouge Parish, LA",22033,12,30.5254797,-91.0899217
1102,"Jun., 2012",2012/06,"Orleans Parish, LA",22071,14,30.0801436,-89.9319134
1103,"Jun., 2012",2012/06,"Baltimore city, MD",24510,11,39.2559916,-76.634341
1104,"Jun., 2012",2012/06,"Wayne County, MI",26163,26,42.2682408,-83.2844172
1105,"Jun., 2012",2012/06,"St. Louis city, MO",29510,10,38.6267938,-90.19770345
1106,"Jun., 2012",2012/06,"Kings County, NY",36047,11,40.64530975,-73.95502303
1107,"Jun., 2012",2012/06,"Philadelphia County, PA",42101,23,40.0114538,-75.1326504
1108,"Jun., 2012",2012/06,"Shelby County, TN",47157,13,35.1782557,-89.8739775
1109,"Jun., 2012",2012/06,"Dallas County, TX",48113,14,32.7620405,-96.7790069
1110,"Jun., 2012",2012/06,"Harris County, TX",48201,28,29.8119769,-95.3741247
1111,"Jul., 2012",2012/07,"Maricopa County, AZ",4013,18,33.34883,-112.49123
1112,"Jul., 2012",2012/07,"Los Angeles County, CA",6037,42,34.3155072,-118.2096814
1113,"Jul., 2012",2012/07,"San Joaquin County, CA",6077,10,37.9372901,-121.2773719
1114,"Jul., 2012",2012/07,"Miami-Dade County, FL",12086,21,25.6364246,-80.4989467
1115,"Jul., 2012",2012/07,"Cook County, IL",17031,54,41.8197385,-87.756525
1116,"Jul., 2012",2012/07,"Jefferson County, KY",21111,10,38.1787175,-85.664528
1117,"Jul., 2012",2012/07,"Orleans Parish, LA",22071,17,30.0801436,-89.9319134
1118,"Jul., 2012",2012/07,"Baltimore city, MD",24510,16,39.2559916,-76.634341
1119,"Jul., 2012",2012/07,"Wayne County, MI",26163,42,42.2682408,-83.2844172
1120,"Jul., 2012",2012/07,"St. Louis city, MO",29510,11,38.6267938,-90.19770345
1121,"Jul., 2012",2012/07,"Camden County, NJ",34007,11,39.8014709,-74.968553
1122,"Jul., 2012",2012/07,"Essex County, NJ",34013,13,40.7913922,-74.2479444
1123,"Jul., 2012",2012/07,"Bronx County, NY",36005,13,40.85703325,-73.83669616
1124,"Jul., 2012",2012/07,"Kings County, NY",36047,17,40.64530975,-73.95502303
1125,"Jul., 2012",2012/07,"Franklin County, OH",39049,13,40.0283162,-83.0076657
1126,"Jul., 2012",2012/07,"Allegheny County, PA",42003,11,40.4597204,-79.9760405
1127,"Jul., 2012",2012/07,"Philadelphia County, PA",42101,26,40.0114538,-75.1326504
1128,"Jul., 2012",2012/07,"Shelby County, TN",47157,18,35.1782557,-89.8739775
1129,"Jul., 2012",2012/07,"Bexar County, TX",48029,10,29.4263987,-98.5104781
1130,"Jul., 2012",2012/07,"Harris County, TX",48201,27,29.8119769,-95.3741247
1131,"Aug., 2012",2012/08,"Alameda County, CA",6001,14,37.6090291,-121.899142
